Subject,Department,OA Material,Paper Type,Date,Unique Identifier,Source
Performance Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2015,AHA_CP_2015,512hours.tumblr.com
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,512hours.tumblr.com
Greco-Roman Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_KG_2016,Acropolis Museum
Street Art,Art History and Architecture,Article,Graduate Thesis,2017,AHA_MM_2017,Al Jazeera
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Alliance of Artists Communities
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Amirbaradaran.com
Street Art,Art History and Architecture,Blog Post,Graduate Thesis,2017,AHA_MM_2017,Amoeba.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Amoeba.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Angenuity
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,archdaily.com
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,Architects Journal
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,Architects Journal
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,Architects Journal
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,Architects Journal
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,Architects Journal
Hellenistic Art in Japanese Video Games,Art History and Architecture,Interactive Book,Graduate Thesis,2021,AHA_ZC_2021,Archive.org
U.S. History,History,Interactive Book,Dissertation,2020,H_NF_2020,Archive.org
U.S. History,History,Historic Document,Graduate Thesis,2014,H_CS_2014,Archive.org
Contemporary Art,Art History and Architecture,Audio,Graduate Thesis,2015,AHA_CH_2015,Archives of American Art
Lesbian History,History,Historic Document,Graduate Thesis,2014,H_SG_2014,Archives West
Chinese Art,Art History and Architecture,Image,Graduate Thesis,2019,AHA_YC_2019,Archives.sh.cn
Latin American Architecture,Art History and Architecture,Dissertation,Graduate Thesis,2019,AHA_JE_2019,Archivo Digital UPM
Latin American Architecture,Art History and Architecture,Dissertation,Graduate Thesis,2019,AHA_JE_2019,Archivo Digital UPM
Art Organizations,Art History and Architecture,OA Journal Article,Graduate Thesis,2020,AHA_CS_2020,ARCTIC
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,Art Forum
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Art Forum
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Art Institute of Chicago
